en,de,it
to taste,##,##
prepared,##,##
in oil,in Öl,sott'olio
pitted,entsteint,snocciolat
smoked,geräuchert,affumicat
nature,nature,natura
halfed,halbiert,dimezzat
grounded,gemahlen,terr
coarse-grained,grobkörnig,grana gross
fresh,frisch,fresc
##,frisches,##
dried,getrocknet,essiccat
frozen,gefroren,congelat
refrigerated,##,##
fry,frittieren,friggere
##,ausbacken,##
drained,abgetropft,sgocciolat
organic,Bio,biologic
crude,roh,grezz
refined,verfeinert,raffinat
##,zerrieben,grattugiat
sliced,geschnitten,affettat
shelled,##,sgranat
skinned,geschält,spellat
peeled,##,pelat
chopped,gehackt,tritat
diced,gewürfelt,dadini
grated,gerieben,grattugiat
##,zum Braten,##
##,zum Anbraten,##
##,m.-großes,##
##,m.-große,##
##,grosse,##
large,gross,grand
##,großes,##
##,große,##
##,groß,##
small,kleine,piccolo
small,klein,piccola
medium,mittelgross,medio
medium,mittelgross,media
raw,roh,cruda
raw,roh,crudo
uncooked,ungekocht,##
cooked,gekocht,cucinata
fully cooked,gar,Completamente cotto
processed,verarbeitet,elaborata
untreated,unbehandelt,non trattato
toasted,getoastet,tostata
\/s,\/n,\/n
(s),\(n\),##
##,\/e,##
##,", gestr.",##
##,", gehäuft",##
piece,stück,pezzo
stalks,stange,steli
skinless,hautlos,senza pelle
boneless,ohne Knochen,##
low-sodium,natriumarm,##
additional,zusätzlich,##
freshly ground,frisch gemahlen,##
long grain,langkorn,##
short grain,kurzkorn,##
finely,fein,finemente
slices,scheiben,##
crumbled,zerbröckelt,sbriciolat
shredded,geschreddert,##
about,##,##
of,von,##
inch,inch,inch
to,zum,##
an,ein,un
by,von,di
accompaniment,Begleitung,accompagnament
assorted,gemischt,assortit
##,gestrichen,##
